Prueba,Burbuja,Mezcla,Rapido,Shell,Monticulos,Seleccion
1,600,3400,400,400,600,400
2,200,3500,300,300,600,500
3,500,3500,400,500,500,200
4,200,1300,200,200,500,200
5,300,1300,300,400,500,400
6,300,1400,400,300,300,200
7,400,1300,400,300,300,400
8,200,1300,500,300,400,300
9,300,1500,300,300,300,100
10,300,1400,400,300,300,300
11,300,700,200,200,200,200
12,200,800,200,200,200,200
13,300,700,200,200,400,200
14,100,900,200,200,300,200
15,200,900,300,300,200,200
16,300,900,300,200,200,200
17,200,800,100,200,200,100
18,200,700,100,200,200,200
19,100,700,200,100,200,100
20,200,700,100,200,100,100
21,100,700,300,300,300,200
22,300,800,300,300,200,200
23,200,700,100,200,200,100
24,100,700,200,200,200,200
25,100,700,200,200,200,100
26,200,800,100,300,200,200
27,200,700,200,100,300,100
28,100,800,200,200,200,200
29,200,700,300,100,200,200
30,100,800,200,200,100,200
31,200,800,200,200,300,200
32,200,800,200,200,300,100
33,300,700,200,200,300,100
34,100,700,200,100,200,100
35,200,800,300,200,200,200
36,200,700,200,100,100,200
37,300,700,100,200,200,200
38,100,600,200,200,100,100
39,200,800,200,200,200,200
40,200,700,200,200,200,200
41,200,700,200,300,200,200
42,200,700,100,100,200,100
43,200,700,200,200,200,200
44,100,700,200,200,200,100
45,100,800,200,100,200,200
46,100,700,100,200,100,200
47,200,800,200,300,200,200
48,100,700,200,200,200,200
49,200,700,300,300,300,200
50,100,700,200,200,200,100
51,200,700,200,200,200,100
52,200,700,200,200,200,200
53,200,700,200,200,200,200
54,200,800,200,200,200,200
55,200,600,200,200,100,100
56,200,700,200,300,200,200
57,200,800,200,200,200,100
58,200,700,300,200,300,200
59,200,700,100,200,200,200
60,200,700,300,200,300,200
61,200,700,200,200,200,100
62,200,700,100,300,300,100
63,200,700,200,200,200,200
64,200,700,200,200,100,200
65,200,800,200,200,300,200
66,200,800,100,100,100,100
67,200,800,200,100,100,100
68,100,700,100,200,200,100
69,100,800,200,100,200,200
70,200,800,200,300,100,100
71,100,600,200,200,200,100
72,100,800,100,100,200,0
73,100,700,200,300,200,100
74,200,800,200,200,200,200
75,200,600,100,200,200,200
76,200,700,200,300,200,100
77,100,700,100,100,300,200
78,100,700,200,100,200,100
79,200,800,100,200,200,200
80,100,800,200,200,300,200
81,100,700,200,100,200,100
82,100,800,200,100,200,100
83,200,600,200,100,100,0
84,200,700,100,100,200,100
85,100,800,200,200,200,200
86,200,800,200,200,300,200
87,200,800,200,200,100,100
88,100,600,100,100,100,100
89,200,700,200,200,200,200
90,200,700,100,200,300,200
91,200,600,100,200,200,100
92,100,700,100,200,200,100
93,200,800,200,200,200,200
94,100,800,200,100,200,200
95,100,700,100,200,200,200
96,100,600,100,100,100,100
97,100,700,200,100,100,200
98,100,700,200,100,100,100
99,100,600,200,300,200,200
100,200,700,100,200,200,100
101,200,600,100,200,200,200
102,200,700,100,100,100,100
103,100,700,100,100,200,100
104,200,700,100,200,100,200
105,200,700,100,100,200,100
106,200,600,100,100,200,100
107,200,700,100,100,200,200
108,200,700,100,200,100,100
109,100,700,200,100,200,100
110,200,700,200,300,200,200
111,200,800,200,100,200,100
112,200,700,200,100,100,100
113,200,700,100,200,300,200
114,100,700,100,100,200,100
115,100,800,100,100,200,100
116,100,700,200,100,100,100
117,200,700,200,100,200,100
118,100,800,200,100,200,200
119,100,700,100,100,100,0
120,200,700,200,200,200,200
121,200,800,100,200,300,100
122,200,800,100,200,100,100
123,100,700,200,200,100,100
124,200,800,100,200,200,100
125,100,600,200,100,200,100
126,200,700,100,200,200,100
127,100,700,200,100,200,100
128,100,700,200,100,200,200
129,200,700,100,100,200,100
130,200,700,200,200,200,100
131,200,800,200,100,200,100
132,200,700,100,300,300,200
133,100,600,100,100,200,100
134,200,700,200,200,200,0
135,200,700,200,200,200,100
136,100,700,100,100,200,100
137,100,800,200,100,200,100
138,100,600,200,200,200,100
139,100,800,200,200,100,100
140,100,700,200,300,200,200
141,100,700,0,100,200,100
142,200,700,200,200,200,200
143,100,700,200,100,100,100
144,100,700,200,200,200,200
145,200,800,100,100,200,200
146,200,700,200,200,200,200
147,200,800,100,200,200,200
148,200,800,200,200,300,100
149,200,700,100,100,100,0
150,100,700,200,100,100,100
151,100,700,100,100,100,100
152,100,700,100,100,100,100
153,200,800,200,200,300,100
154,200,700,100,300,200,100
155,200,800,100,100,200,100
156,200,700,200,200,200,100
157,200,700,100,100,100,100
158,100,800,200,100,200,100
159,200,800,200,200,100,100
160,100,700,100,100,100,200
161,200,700,100,200,200,300
162,100,700,100,100,100,0
163,100,700,200,200,200,200
164,100,800,300,200,200,200
165,200,800,200,100,100,200
166,200,700,100,0,100,100
167,100,600,100,100,100,0
168,100,700,200,200,300,100
169,100,700,200,0,200,200
170,200,700,100,100,100,100
171,200,700,100,200,200,200
172,200,700,100,100,100,0
173,100,700,100,100,200,100
174,200,700,200,100,100,100
175,100,700,200,200,100,200
176,100,600,100,100,200,0
177,200,700,100,200,200,100
178,100,700,100,100,200,100
179,100,600,100,100,100,100
180,200,700,100,100,100,100
181,200,700,300,200,300,200
182,200,700,100,200,300,200
183,100,700,200,0,200,100
184,100,800,200,200,200,100
185,100,700,100,100,100,200
186,200,800,200,200,200,200
187,100,700,100,200,100,200
188,100,800,100,200,200,100
189,100,700,100,200,100,100
190,100,700,100,100,100,200
191,200,600,200,100,300,100
192,200,800,200,200,200,100
193,200,800,200,100,200,100
194,100,700,300,100,100,100
195,100,700,100,200,200,200
196,100,700,100,100,100,100
197,200,700,200,300,200,200
198,200,800,200,200,200,200
199,200,700,200,200,200,200
200,200,800,100,100,200,200
201,100,800,100,200,200,100
202,0,800,200,100,100,100
203,100,700,100,100,100,100
204,200,700,100,200,200,200
205,100,700,200,200,200,200
206,200,700,200,200,100,200
207,200,700,100,200,300,200
208,200,800,200,100,200,0
209,200,800,100,200,200,200
210,100,700,200,100,200,100
